year,obs.hours,species,spcode,behavior,diet,habitat,tolerance,DDT,pop est,size,count,urban %,TOTAL NE POP,deciduous %,evergreen %,mixed %,cropland %,pasture %,cattles and cows,sheep and lambs,CAN arable,CAN built up,CAN natural,Aug NAO,Sept NAO,Oct NAO,Autumn NAO,Apr NAO,May NAO,Spring NAO
1970,459,RLHA,12,complete,specialist,specialist,intolerant,unsusceptible,300000,951,10,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,RSHA,13,partial,generalist,specialist,tolerant,susceptible,1800000,625,130,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,RTHA,14,partial,specialist,generalist,tolerant,unsusceptible,2800000,1126,2503,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,SSHA,15,partial,specialist,specialist,intolerant,susceptible,410000,166,1906,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1971,320,AMKE,1,partial,generalist,specialist,tolerant,susceptible,2800000,116,365,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,BAEA,2,partial,generalist,generalist,tolerant,susceptible,200000,4790,14,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,BWHA,4,complete,generalist,specialist,intolerant,unsusceptible,1800000,397,5603,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,COHA,5,partial,generalist,generalist,tolerant,susceptible,840000,452,69,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,GOEA,6,partial,generalist,generalist,intolerant,susceptible,63000,4200,23,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,MERL,7,partial,specialist,generalist,tolerant,susceptible,1600000,222,12,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,NOGO,8,partial,generalist,specialist,intolerant,susceptible,210000,990,33,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,NOHA,9,partial,generalist,specialist,intolerant,susceptible,820000,447,136,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,OSPR,10,partial,specialist,specialist,tolerant,susceptible,400000,1570,264,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,PEFA,11,partial,specialist,generalist,tolerant,susceptible,37000,794,9,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,RLHA,12,complete,specialist,specialist,intolerant,unsusceptible,300000,951,7,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,RSHA,13,partial,generalist,specialist,tolerant,susceptible,1800000,625,87,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,RTHA,14,partial,specialist,generalist,tolerant,unsusceptible,2800000,1126,1781,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1971,320,SSHA,15,partial,specialist,specialist,intolerant,susceptible,410000,166,2135,0.05,42237.566,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.55,0.39,0.58,0.84,-0.24,0.5,0.13
1972,437,AMKE,1,partial,generalist,specialist,tolerant,susceptible,2800000,116,393,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,BAEA,2,partial,generalist,generalist,tolerant,susceptible,200000,4790,14,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,BWHA,4,complete,generalist,specialist,intolerant,unsusceptible,1800000,397,8131,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,COHA,5,partial,generalist,generalist,tolerant,susceptible,840000,452,114,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,GOEA,6,partial,generalist,generalist,intolerant,susceptible,63000,4200,33,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,MERL,7,partial,specialist,generalist,tolerant,susceptible,1600000,222,7,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,NOGO,8,partial,generalist,specialist,intolerant,susceptible,210000,990,347,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,NOHA,9,partial,generalist,specialist,intolerant,susceptible,820000,447,154,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,OSPR,10,partial,specialist,specialist,tolerant,susceptible,400000,1570,272,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,PEFA,11,partial,specialist,generalist,tolerant,susceptible,37000,794,6,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,RLHA,12,complete,specialist,specialist,intolerant,unsusceptible,300000,951,6,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,RSHA,13,partial,generalist,specialist,tolerant,susceptible,1800000,625,123,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,RTHA,14,partial,specialist,generalist,tolerant,unsusceptible,2800000,1126,3463,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1972,437,SSHA,15,partial,specialist,specialist,intolerant,susceptible,410000,166,2233,0.05,42329.966,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,1.32,-0.12,1.09,0.763333333,-0.22,0.95,0.365
1973,518,AMKE,1,partial,generalist,specialist,tolerant,susceptible,2800000,116,479,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,BAEA,2,partial,generalist,generalist,tolerant,susceptible,200000,4790,17,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,BWHA,4,complete,generalist,specialist,intolerant,unsusceptible,1800000,397,6404,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,COHA,5,partial,generalist,generalist,tolerant,susceptible,840000,452,81,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,GOEA,6,partial,generalist,generalist,intolerant,susceptible,63000,4200,46,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,MERL,7,partial,specialist,generalist,tolerant,susceptible,1600000,222,13,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,NOGO,8,partial,generalist,specialist,intolerant,susceptible,210000,990,307,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,NOHA,9,partial,generalist,specialist,intolerant,susceptible,820000,447,177,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,OSPR,10,partial,specialist,specialist,tolerant,susceptible,400000,1570,346,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,PEFA,11,partial,specialist,generalist,tolerant,susceptible,37000,794,9,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,RLHA,12,complete,specialist,specialist,intolerant,unsusceptible,300000,951,8,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,RSHA,13,partial,generalist,specialist,tolerant,susceptible,1800000,625,116,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,RTHA,14,partial,specialist,generalist,tolerant,unsusceptible,2800000,1126,3098,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1973,518,SSHA,15,partial,specialist,specialist,intolerant,susceptible,410000,166,3347,0.05,42207.35,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,-0.06,-0.3,-1.24,-0.533333333,-0.54,-0.44,-0.49
1974,531,AMKE,1,partial,generalist,specialist,tolerant,susceptible,2800000,116,434,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,BAEA,2,partial,generalist,generalist,tolerant,susceptible,200000,4790,13,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,BWHA,4,complete,generalist,specialist,intolerant,unsusceptible,1800000,397,9146,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,COHA,5,partial,generalist,generalist,tolerant,susceptible,840000,452,150,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,GOEA,6,partial,generalist,generalist,intolerant,susceptible,63000,4200,27,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,MERL,7,partial,specialist,generalist,tolerant,susceptible,1600000,222,10,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,NOGO,8,partial,generalist,specialist,intolerant,susceptible,210000,990,61,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,NOHA,9,partial,generalist,specialist,intolerant,susceptible,820000,447,163,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,OSPR,10,partial,specialist,specialist,tolerant,susceptible,400000,1570,183,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,PEFA,11,partial,specialist,generalist,tolerant,susceptible,37000,794,7,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,RLHA,12,complete,specialist,specialist,intolerant,unsusceptible,300000,951,17,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,RSHA,13,partial,generalist,specialist,tolerant,susceptible,1800000,625,182,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,RTHA,14,partial,specialist,generalist,tolerant,unsusceptible,2800000,1126,3658,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1974,531,SSHA,15,partial,specialist,specialist,intolerant,susceptible,410000,166,4477,0.05,42066.825,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.64,0.82,0.49,0.223333333,0.51,-0.24,0.135
1975,490,AMKE,1,partial,generalist,specialist,tolerant,susceptible,2800000,116,487,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,BAEA,2,partial,generalist,generalist,tolerant,susceptible,200000,4790,19,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,BWHA,4,complete,generalist,specialist,intolerant,unsusceptible,1800000,397,10390,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,COHA,5,partial,generalist,generalist,tolerant,susceptible,840000,452,126,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,GOEA,6,partial,generalist,generalist,intolerant,susceptible,63000,4200,27,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,MERL,7,partial,specialist,generalist,tolerant,susceptible,1600000,222,19,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,NOGO,8,partial,generalist,specialist,intolerant,susceptible,210000,990,136,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,NOHA,9,partial,generalist,specialist,intolerant,susceptible,820000,447,267,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,OSPR,10,partial,specialist,specialist,tolerant,susceptible,400000,1570,196,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,PEFA,11,partial,specialist,generalist,tolerant,susceptible,37000,794,6,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,RLHA,12,complete,specialist,specialist,intolerant,unsusceptible,300000,951,9,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,RSHA,13,partial,generalist,specialist,tolerant,susceptible,1800000,625,205,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,RTHA,14,partial,specialist,generalist,tolerant,unsusceptible,2800000,1126,2880,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1975,490,SSHA,15,partial,specialist,specialist,intolerant,susceptible,410000,166,5354,0.05,42072.887,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.26,1.56,-0.54,0.253333333,-1.6,-0.52,-1.06
1976,557,AMKE,1,partial,generalist,specialist,tolerant,susceptible,2800000,116,413,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,BAEA,2,partial,generalist,generalist,tolerant,susceptible,200000,4790,18,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,BWHA,4,complete,generalist,specialist,intolerant,unsusceptible,1800000,397,8461,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,COHA,5,partial,generalist,generalist,tolerant,susceptible,840000,452,109,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,GOEA,6,partial,generalist,generalist,intolerant,susceptible,63000,4200,40,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,MERL,7,partial,specialist,generalist,tolerant,susceptible,1600000,222,20,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,NOGO,8,partial,generalist,specialist,intolerant,susceptible,210000,990,62,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,NOHA,9,partial,generalist,specialist,intolerant,susceptible,820000,447,248,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,OSPR,10,partial,specialist,specialist,tolerant,susceptible,400000,1570,314,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,PEFA,11,partial,specialist,generalist,tolerant,susceptible,37000,794,8,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,RLHA,12,complete,specialist,specialist,intolerant,unsusceptible,300000,951,13,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,RSHA,13,partial,generalist,specialist,tolerant,susceptible,1800000,625,167,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,RTHA,14,partial,specialist,generalist,tolerant,unsusceptible,2800000,1126,3694,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1976,557,SSHA,15,partial,specialist,specialist,intolerant,susceptible,410000,166,5376,0.05,42029.603,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,1.92,-1.29,-0.08,0.183333333,0.26,0.96,0.61
1977,541,AMKE,1,partial,generalist,specialist,tolerant,susceptible,2800000,116,705,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
1977,541,BAEA,2,partial,generalist,generalist,tolerant,susceptible,200000,4790,19,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
1977,541,BWHA,4,complete,generalist,specialist,intolerant,unsusceptible,1800000,397,13009,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
1977,541,COHA,5,partial,generalist,generalist,tolerant,susceptible,840000,452,231,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
1977,541,GOEA,6,partial,generalist,generalist,intolerant,susceptible,63000,4200,28,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
1977,541,MERL,7,partial,specialist,generalist,tolerant,susceptible,1600000,222,27,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
1977,541,NOGO,8,partial,generalist,specialist,intolerant,susceptible,210000,990,85,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
1977,541,NOHA,9,partial,generalist,specialist,intolerant,susceptible,820000,447,288,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
1977,541,OSPR,10,partial,specialist,specialist,tolerant,susceptible,400000,1570,340,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
1977,541,PEFA,11,partial,specialist,generalist,tolerant,susceptible,37000,794,11,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
1977,541,RLHA,12,complete,specialist,specialist,intolerant,unsusceptible,300000,951,17,0.05,41945.616,0.38,0.11,0.18,0.08,0.14,4271090,144775,0.0688,0.0084,0.1627,-0.28,0.37,0.52,0.203333333,0.65,-0.86,-0.105
